epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40658,1.31416,0.77295,0.99705,0.7612,0.47592,0.55116,0.30455,1.30879,0.75989,0.98159,0.0413737,0.000462334,0.000462334
2,14.1951,1.30345,0.76126,0.98789,0.62672,0.48918,0.54636,0.30121,1.31009,0.76676,0.98211,0.0215809,0.000845027,0.000845027
3,21.1472,1.29089,0.74777,0.98542,0.63716,0.48415,0.54584,0.30155,1.31039,0.77195,0.9806,0.00169399,0.00113356,0.00113356
4,31.194,1.28873,0.75126,0.98359,0.58997,0.50055,0.54033,0.2983,1.31296,0.77872,0.98069,0.00100292,0.00100292,0.00100292
5,37.9544,1.28643,0.74091,0.98119,0.63158,0.49853,0.54189,0.30202,1.30671,0.77473,0.97828,0.000861685,0.000861685,0.000861685
6,44.9219,1.27446,0.72601,0.97849,0.66751,0.49486,0.54631,0.30454,1.30968,0.77327,0.97876,0.000720448,0.000720448,0.000720448
7,51.7991,1.26347,0.72478,0.97043,0.6218,0.50729,0.54565,0.30231,1.31046,0.77305,0.97999,0.000579212,0.000579212,0.000579212
8,61.8549,1.26507,0.7179,0.97472,0.6191,0.48378,0.54262,0.3006,1.31215,0.7719,0.9798,0.000437975,0.000437975,0.000437975
9,69.1378,1.26544,0.71337,0.96738,0.61935,0.48934,0.54178,0.30027,1.31153,0.77298,0.98042,0.000296739,0.000296739,0.000296739
10,75.7999,1.26193,0.71687,0.9767,0.62919,0.48633,0.54123,0.29843,1.3114,0.7717,0.98053,0.000155503,0.000155503,0.000155503
