epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60797,1.27692,0.73326,0.96781,0.70021,0.48505,0.53953,0.29618,1.26041,0.72965,0.94883,0.00761997,0.00041161,0.00041161
2,12.3856,1.26061,0.72624,0.95888,0.71299,0.48195,0.5384,0.29311,1.26396,0.73451,0.94994,0.00640864,0.000763537,0.000763537
3,18.9044,1.2651,0.71949,0.95852,0.63324,0.49396,0.53556,0.29393,1.26512,0.7378,0.95006,0.00511101,0.00102917,0.00102917
4,25.2146,1.25399,0.70684,0.95477,0.62366,0.49664,0.53666,0.29088,1.26696,0.74032,0.95002,0.00372709,0.00120851,0.00120851
5,30.5061,1.25889,0.711,0.95928,0.64997,0.48098,0.52709,0.28924,1.26838,0.74277,0.95002,0.00225688,0.00130156,0.00130156
6,36.1839,1.24722,0.70123,0.9492,0.58329,0.49914,0.52849,0.28706,1.27257,0.74618,0.95001,0.00122272,0.00122272,0.00122272
7,41.4493,1.24028,0.70356,0.95003,0.61711,0.47535,0.5291,0.28631,1.27177,0.74661,0.95055,0.000983022,0.000983022,0.000983022
8,46.5956,1.2343,0.69336,0.9498,0.623,0.46696,0.52808,0.28773,1.27251,0.74582,0.95075,0.00074332,0.00074332,0.00074332
9,51.7772,1.23644,0.69734,0.94765,0.60739,0.49089,0.52908,0.28777,1.27126,0.74551,0.95027,0.000503617,0.000503617,0.000503617
10,57.2063,1.22665,0.69021,0.9456,0.61235,0.48321,0.52729,0.28732,1.26962,0.74443,0.94922,0.000263915,0.000263915,0.000263915
