epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36227,1.27798,0.73607,0.96663,0.71225,0.47488,0.53529,0.29227,1.26973,0.74219,0.95198,0.0155227,2.04331e-05,2.04331e-05
2,12.2654,1.25531,0.72122,0.95403,0.72102,0.48082,0.53815,0.29214,1.27111,0.74177,0.94857,0.0121782,3.79034e-05,3.79034e-05
3,17.9439,1.25937,0.71033,0.95453,0.65706,0.496,0.53373,0.29163,1.27019,0.743,0.94817,0.00882948,5.10899e-05,5.10899e-05
4,26.1754,1.24483,0.69824,0.95139,0.63581,0.49197,0.53284,0.29186,1.26852,0.74176,0.94813,0.00547645,5.99927e-05,5.99927e-05
5,31.9679,1.24789,0.69796,0.95382,0.61467,0.4782,0.53232,0.28996,1.26719,0.74,0.94781,0.00211913,6.46118e-05,6.46118e-05
6,37.8599,1.23677,0.68772,0.94486,0.58585,0.50027,0.53344,0.28967,1.26776,0.74052,0.94885,6.06983e-05,6.06983e-05,6.06983e-05
7,43.6839,1.23114,0.69181,0.94537,0.61432,0.48439,0.53331,0.28912,1.26791,0.74169,0.94952,4.8799e-05,4.8799e-05,4.8799e-05
8,49.6247,1.22434,0.68194,0.94652,0.58074,0.50189,0.53178,0.28873,1.26966,0.74189,0.95029,3.68997e-05,3.68997e-05,3.68997e-05
9,55.2656,1.227,0.68626,0.94424,0.59592,0.50574,0.53086,0.28878,1.27052,0.74163,0.95043,2.50005e-05,2.50005e-05,2.50005e-05
10,62.6428,1.22059,0.68079,0.94296,0.60626,0.50236,0.53034,0.2887,1.27078,0.74126,0.95039,1.31012e-05,1.31012e-05,1.31012e-05
