epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26079,1.276,0.73269,0.967,0.69567,0.49119,0.5395,0.29648,1.25936,0.73083,0.94905,0.083121,0.000397355,0.000397355
2,11.9467,1.25902,0.72433,0.95821,0.70695,0.48979,0.54164,0.29598,1.26505,0.73372,0.95027,0.0655207,0.000737093,0.000737093
3,19.7189,1.26623,0.71905,0.95856,0.61152,0.50358,0.53784,0.29228,1.2657,0.73666,0.95039,0.0478371,0.000993527,0.000993527
4,25.2,1.25602,0.70835,0.95597,0.62197,0.4928,0.53836,0.29222,1.26656,0.74,0.95053,0.0300701,0.00116666,0.00116666
5,30.4566,1.26249,0.71224,0.96134,0.6118,0.49463,0.53066,0.28968,1.26596,0.73851,0.94996,0.0122199,0.00125648,0.00125648
6,35.6457,1.24972,0.70311,0.95067,0.57483,0.49496,0.52989,0.28827,1.26995,0.74407,0.9506,0.00118038,0.00118038,0.00118038
7,40.8985,1.24477,0.70758,0.95212,0.61031,0.47951,0.53055,0.28753,1.26707,0.74329,0.94988,0.000948977,0.000948977,0.000948977
8,46.2189,1.23857,0.69701,0.95205,0.61392,0.47757,0.53035,0.2877,1.26833,0.74226,0.95012,0.000717576,0.000717576,0.000717576
9,53.7751,1.24104,0.70136,0.9495,0.56839,0.4961,0.52914,0.28695,1.26796,0.74293,0.95001,0.000486175,0.000486175,0.000486175
10,59.6561,1.23164,0.69352,0.94773,0.60748,0.49994,0.5281,0.28727,1.26747,0.74195,0.9502,0.000254775,0.000254775,0.000254775
