epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.11977,1.30119,0.77764,0.97368,0.69816,0.40822,0.47255,0.25502,1.34651,0.85453,0.97755,0.0608563,0.000348714,0.000348714
2,12.2071,1.31751,0.79279,0.97875,0.62376,0.43545,0.45525,0.24037,1.35315,0.87351,0.98511,0.0480323,0.000646865,0.000646865
3,18.2572,1.34558,0.83011,0.99206,0.66352,0.40133,0.44078,0.23293,1.36019,0.88712,0.99171,0.0351352,0.000871909,0.000871909
4,26.0763,1.32329,0.80989,0.98527,0.63691,0.41987,0.44845,0.2361,1.35348,0.89954,0.99399,0.0221651,0.00102385,0.00102385
5,32.0433,1.32097,0.79408,0.9904,0.5542,0.418,0.45721,0.23971,1.36439,0.87505,0.99969,0.00912175,0.00110268,0.00110268
6,37.9555,1.30604,0.78527,0.97788,0.62959,0.40723,0.43081,0.22586,1.37125,0.88893,0.99625,0.00103589,0.00103589,0.00103589
7,43.7078,1.29381,0.77108,0.9761,0.64785,0.40741,0.45207,0.24023,1.36321,0.88115,0.9925,0.000832812,0.000832812,0.000832812
8,49.3716,1.2742,0.74497,0.96864,0.64602,0.40922,0.45536,0.24104,1.36344,0.8605,0.99628,0.000629737,0.000629737,0.000629737
9,56.912,1.25679,0.72802,0.96226,0.65073,0.43201,0.47098,0.25365,1.34527,0.83821,0.98987,0.000426662,0.000426662,0.000426662
10,62.601,1.21709,0.69678,0.94967,0.54293,0.43018,0.46925,0.25236,1.33981,0.82884,0.98881,0.000223587,0.000223587,0.000223587
