epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49142,1.31445,0.77722,0.99806,0.74643,0.48531,0.54842,0.30185,1.3115,0.76083,0.98386,0.0282692,4.15279e-05,4.15279e-05
2,17.6658,1.31706,0.77621,0.99413,0.63316,0.50026,0.53973,0.29595,1.31761,0.77103,0.98815,0.0143831,7.59024e-05,7.59024e-05
3,25.1249,1.30548,0.7626,0.99302,0.62987,0.50191,0.53933,0.29563,1.31942,0.77166,0.98901,0.0004885,0.000101819,0.000101819
4,32.3428,1.31148,0.76887,0.99502,0.62675,0.50535,0.53794,0.29452,1.31994,0.77258,0.989,9.00848e-05,9.00848e-05,9.00848e-05
5,39.3302,1.31077,0.75997,0.99228,0.62309,0.50196,0.53716,0.29479,1.3186,0.77051,0.9879,7.73986e-05,7.73986e-05,7.73986e-05
6,49.3523,1.30067,0.75133,0.99052,0.63953,0.48732,0.53782,0.29559,1.31597,0.77038,0.98611,6.47124e-05,6.47124e-05,6.47124e-05
7,56.6517,1.29291,0.75632,0.98326,0.6296,0.48436,0.53986,0.29706,1.31448,0.76876,0.98525,5.20262e-05,5.20262e-05,5.20262e-05
8,63.8057,1.29638,0.75175,0.98993,0.62032,0.49249,0.54117,0.29741,1.31392,0.76869,0.98405,3.934e-05,3.934e-05,3.934e-05
9,70.7493,1.30455,0.74843,0.98493,0.6274,0.48525,0.54128,0.29813,1.31373,0.76994,0.98404,2.66538e-05,2.66538e-05,2.66538e-05
10,77.5127,1.30229,0.75617,0.99488,0.63435,0.48276,0.54086,0.29805,1.31264,0.76869,0.98348,1.39676e-05,1.39676e-05,1.39676e-05
