epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.82395,1.36898,0.84668,1.01339,0.66203,0.44097,0.47276,0.24864,1.40552,0.91838,1.01727,0.041667,0.000717931,0.000717931
2,17.1473,1.40342,0.90372,1.03396,0.63934,0.42191,0.45339,0.23377,1.42028,0.9662,1.04048,0.0220672,0.00131219,0.00131219
3,24.508,1.40892,0.92503,1.03666,0.6235,0.41215,0.43225,0.22591,1.43232,0.98323,1.04368,0.00232119,0.00176024,0.00176024
4,31.5905,1.40875,0.91786,1.04168,0.60559,0.42894,0.43221,0.21936,1.43995,0.98678,1.05476,0.00155738,0.00155738,0.00155738
5,38.6268,1.38663,0.89428,1.03376,0.53731,0.40943,0.44477,0.23198,1.44326,0.96675,1.05011,0.00133806,0.00133806,0.00133806
6,45.4926,1.37449,0.86404,1.02822,0.51894,0.4295,0.45243,0.23502,1.43534,0.95436,1.05008,0.00111874,0.00111874,0.00111874
7,54.6317,1.34778,0.83702,1.014,0.5461,0.44278,0.4689,0.24438,1.4196,0.9299,1.03815,0.000899424,0.000899424,0.000899424
8,62.2435,1.33147,0.8164,1.01256,0.53669,0.45199,0.47843,0.25271,1.40325,0.90963,1.02739,0.000680106,0.000680106,0.000680106
9,69.9618,1.31571,0.79682,0.99496,0.54224,0.45607,0.47314,0.24877,1.40439,0.89812,1.0311,0.000460789,0.000460789,0.000460789
10,77.6317,1.30158,0.77738,1.00172,0.58403,0.44665,0.4858,0.25839,1.39009,0.88412,1.02805,0.000241471,0.000241471,0.000241471
