epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57585,1.30228,0.76679,0.97768,0.67843,0.44989,0.49713,0.26581,1.31077,0.80414,0.9644,0.000541828,0.000541828,0.000541828
2,12.2562,1.29351,0.77198,0.97032,0.68163,0.44544,0.4924,0.26717,1.31035,0.79905,0.96879,0.000488187,0.000488187,0.000488187
3,20.197,1.28867,0.755,0.96964,0.69101,0.44513,0.4984,0.26584,1.30926,0.80594,0.96712,0.000434546,0.000434546,0.000434546
4,26.2431,1.2681,0.73381,0.96156,0.58867,0.47004,0.50723,0.26974,1.30542,0.79755,0.96389,0.000380905,0.000380905,0.000380905
5,32.0168,1.26311,0.71943,0.96079,0.61128,0.46213,0.51118,0.27047,1.29847,0.79398,0.96148,0.000327264,0.000327264,0.000327264
6,37.7423,1.23694,0.70217,0.94853,0.59924,0.46224,0.50071,0.27199,1.30352,0.79719,0.96415,0.000273623,0.000273623,0.000273623
7,43.7083,1.22376,0.69296,0.94776,0.69364,0.46134,0.51047,0.27344,1.30511,0.79094,0.9648,0.000219982,0.000219982,0.000219982
8,49.3111,1.21169,0.67926,0.94589,0.60365,0.46612,0.51485,0.27366,1.3002,0.78761,0.96357,0.000166341,0.000166341,0.000166341
9,56.8508,1.2066,0.67349,0.94113,0.62143,0.4553,0.50877,0.27319,1.29802,0.78354,0.96284,0.0001127,0.0001127,0.0001127
10,62.3563,1.19302,0.66517,0.9387,0.60549,0.46051,0.50943,0.27112,1.2987,0.78234,0.96357,5.90593e-05,5.90593e-05,5.90593e-05
