epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68358,1.31419,0.77269,0.99709,0.74857,0.48101,0.54926,0.30365,1.30987,0.75936,0.98238,0.0536374,0.000832487,0.000832487
2,16.7427,1.30414,0.76218,0.98857,0.63432,0.4841,0.54816,0.30088,1.31227,0.76619,0.98386,0.0282857,0.00152157,0.00152157
3,23.8298,1.29078,0.74736,0.98609,0.66685,0.49489,0.53892,0.30036,1.31151,0.77474,0.98274,0.00276447,0.00204111,0.00204111
4,31.1479,1.28973,0.75265,0.98401,0.59309,0.5025,0.54072,0.2978,1.31386,0.78007,0.98299,0.00180588,0.00180588,0.00180588
5,40.3198,1.28539,0.74088,0.98194,0.62236,0.48919,0.54227,0.29981,1.31019,0.77914,0.98271,0.00155156,0.00155156,0.00155156
6,47.8557,1.27439,0.72483,0.97872,0.71645,0.48171,0.53802,0.29714,1.31642,0.78312,0.98402,0.00129725,0.00129725,0.00129725
7,55.012,1.26297,0.72522,0.97025,0.59097,0.50113,0.53716,0.29707,1.31316,0.78166,0.98487,0.00104294,0.00104294,0.00104294
8,62.1169,1.25963,0.71531,0.97381,0.59111,0.49759,0.53314,0.29658,1.31808,0.78369,0.98434,0.000788626,0.000788626,0.000788626
9,69.1882,1.26074,0.71058,0.96552,0.58687,0.50142,0.53241,0.29543,1.31919,0.78376,0.98638,0.000534314,0.000534314,0.000534314
10,78.2469,1.25715,0.71372,0.97562,0.59142,0.49349,0.53423,0.29725,1.31788,0.77956,0.98539,0.000280001,0.000280001,0.000280001
