epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.76838,1.31424,0.77533,0.99764,0.75266,0.48301,0.55013,0.30267,1.3106,0.76089,0.98251,0.0314129,4.38544e-05,4.38544e-05
2,14.495,1.31437,0.77145,0.99254,0.64379,0.49618,0.54232,0.29699,1.31585,0.7688,0.98699,0.0140756,8.01545e-05,8.01545e-05
3,21.3113,1.30262,0.75888,0.99155,0.63476,0.50021,0.54019,0.29621,1.31696,0.77051,0.98746,0.000100489,0.000100489,0.000100489
4,28.191,1.30824,0.76517,0.99354,0.63266,0.50104,0.53991,0.29478,1.31703,0.76982,0.98716,8.80846e-05,8.80846e-05,8.80846e-05
5,37.8022,1.30743,0.75656,0.99085,0.6484,0.48483,0.53923,0.29651,1.31596,0.76859,0.98603,7.56801e-05,7.56801e-05,7.56801e-05
6,45.1686,1.29873,0.74799,0.98951,0.64195,0.48857,0.54178,0.29724,1.31428,0.76867,0.98498,6.32756e-05,6.32756e-05,6.32756e-05
7,52.2046,1.28993,0.75388,0.98207,0.64166,0.49304,0.5417,0.29776,1.31323,0.76818,0.98413,5.08711e-05,5.08711e-05,5.08711e-05
8,59.3115,1.29466,0.74964,0.98897,0.62612,0.48873,0.54071,0.29712,1.31219,0.7677,0.98329,3.84665e-05,3.84665e-05,3.84665e-05
9,69.1282,1.30221,0.74602,0.98355,0.62361,0.48901,0.53984,0.29757,1.31281,0.76885,0.98348,2.6062e-05,2.6062e-05,2.6062e-05
10,76.2235,1.30168,0.75546,0.99399,0.63519,0.48627,0.54138,0.29846,1.31223,0.76807,0.98348,1.36575e-05,1.36575e-05,1.36575e-05
