epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7689,1.27548,0.73288,0.96678,0.6021,0.49001,0.54194,0.29647,1.2602,0.7316,0.94882,0.0736605,2.17988e-05,2.17988e-05
2,13.0202,1.261,0.72625,0.95929,0.60107,0.48828,0.54008,0.29504,1.26475,0.73319,0.95103,0.0577093,4.04368e-05,4.04368e-05
3,21.0489,1.27008,0.72228,0.96083,0.60149,0.48626,0.53886,0.29288,1.26798,0.73688,0.95203,0.0417535,5.45047e-05,5.45047e-05
4,26.9789,1.25973,0.71353,0.95807,0.60841,0.48314,0.53582,0.2914,1.26859,0.73947,0.95228,0.0257932,6.40026e-05,6.40026e-05
5,32.8383,1.27028,0.72094,0.96438,0.60937,0.48186,0.53472,0.2902,1.26934,0.73996,0.95238,0.00982827,6.89304e-05,6.89304e-05
6,38.6928,1.25945,0.71476,0.95576,0.60831,0.47547,0.53193,0.28925,1.2692,0.73976,0.95222,6.47553e-05,6.47553e-05,6.47553e-05
7,44.5548,1.25702,0.72161,0.95616,0.60918,0.4744,0.53231,0.28912,1.26913,0.74043,0.95223,5.20607e-05,5.20607e-05,5.20607e-05
8,52.2817,1.25913,0.71653,0.95979,0.60808,0.47444,0.53099,0.28834,1.26968,0.74054,0.95231,3.93661e-05,3.93661e-05,3.93661e-05
9,58.0178,1.2643,0.72373,0.95853,0.60642,0.47679,0.53078,0.28839,1.26977,0.74123,0.95248,2.66715e-05,2.66715e-05,2.66715e-05
10,63.5491,1.26208,0.72143,0.95924,0.60801,0.47968,0.53126,0.28853,1.2694,0.74084,0.95227,1.39769e-05,1.39769e-05,1.39769e-05
