epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.04259,1.41775,0.91634,1.03758,0.64095,0.37846,0.40763,0.20564,1.51507,1.0414,1.07803,0.033231,0.00163905,0.00163905
2,14.9193,1.50341,1.05705,1.0846,0.52077,0.33653,0.31813,0.14822,1.57899,1.22935,1.16761,0.0170906,0.00299576,0.00299576
3,21.9562,1.5229,1.12432,1.10797,0.37165,0.28307,0.25641,0.11599,1.681,1.47933,1.17513,0.00375576,0.00375576,0.00375576
4,28.9021,1.54251,1.11956,1.11736,0.52167,0.32688,0.30443,0.14142,1.57009,1.23358,1.13089,0.00329214,0.00329214,0.00329214
5,38.7362,1.5223,1.07091,1.10661,0.54567,0.34147,0.34291,0.16495,1.5476,1.18198,1.11616,0.00282853,0.00282853,0.00282853
6,46.0881,1.49292,1.03213,1.09191,0.57745,0.37219,0.37998,0.1873,1.52946,1.09401,1.10512,0.00236491,0.00236491,0.00236491
7,53.3826,1.46263,1.00525,1.07814,0.57847,0.37756,0.39216,0.1974,1.50423,1.05016,1.09419,0.00190129,0.00190129,0.00190129
8,60.7373,1.43456,0.9488,1.0663,0.59127,0.39353,0.40507,0.20242,1.48555,1.02466,1.07784,0.00143768,0.00143768,0.00143768
9,70.0981,1.41476,0.92254,1.04405,0.62197,0.39109,0.41922,0.21268,1.46588,0.99669,1.07152,0.000974062,0.000974062,0.000974062
10,77.3565,1.382,0.88081,1.04391,0.62202,0.40954,0.43694,0.22535,1.44926,0.95971,1.06469,0.000510446,0.000510446,0.000510446
