epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.27167,1.31364,0.77324,0.99723,0.75813,0.48061,0.55074,0.30363,1.30993,0.75936,0.98222,0.0553606,0.000779295,0.000779295
2,17.7571,1.30673,0.76365,0.98978,0.62377,0.49137,0.5457,0.29975,1.31311,0.76625,0.98425,0.0290889,0.00142435,0.00142435
3,25.266,1.29367,0.75002,0.98708,0.65208,0.5013,0.54251,0.30135,1.31082,0.77356,0.98269,0.00265839,0.0019107,0.0019107
4,32.5012,1.29312,0.7531,0.98616,0.61676,0.48478,0.54069,0.29731,1.31459,0.77909,0.98379,0.00169049,0.00169049,0.00169049
5,39.6694,1.28801,0.7424,0.98415,0.62948,0.50463,0.54207,0.30067,1.31161,0.77993,0.98285,0.00145243,0.00145243,0.00145243
6,49.1207,1.27369,0.72565,0.9793,0.61864,0.50516,0.54051,0.29905,1.31546,0.7786,0.98339,0.00121436,0.00121436,0.00121436
7,56.4627,1.26416,0.72637,0.97168,0.59215,0.50288,0.54117,0.29842,1.31334,0.78007,0.98477,0.000976301,0.000976301,0.000976301
8,63.8266,1.26118,0.7175,0.9754,0.61412,0.48494,0.53397,0.29418,1.31444,0.78053,0.98266,0.000738237,0.000738237,0.000738237
9,71.1362,1.26261,0.71336,0.96756,0.59071,0.4998,0.53563,0.29437,1.31784,0.78242,0.9859,0.000500174,0.000500174,0.000500174
10,78.3527,1.25918,0.71553,0.97649,0.60814,0.48555,0.53776,0.29634,1.31363,0.77509,0.98411,0.00026211,0.00026211,0.00026211
