epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4321,1.3144,0.77301,0.99717,0.76568,0.47809,0.55021,0.30424,1.30896,0.75917,0.98181,0.0465647,0.000515773,0.000515773
2,17.615,1.3059,0.76279,0.98901,0.62564,0.49138,0.54604,0.30012,1.31176,0.76614,0.98252,0.0242826,0.0009427,0.0009427
3,24.6925,1.29237,0.74941,0.98587,0.65738,0.49685,0.5451,0.30186,1.31027,0.7711,0.98118,0.00189539,0.00126459,0.00126459
4,31.6873,1.2908,0.75299,0.98426,0.64959,0.49589,0.54115,0.3012,1.31144,0.77573,0.9801,0.00111884,0.00111884,0.00111884
5,38.7764,1.28653,0.74062,0.98166,0.67358,0.48357,0.54161,0.30139,1.30616,0.77524,0.97788,0.000961282,0.000961282,0.000961282
6,48.6024,1.27668,0.72806,0.97893,0.65387,0.4966,0.54507,0.30338,1.31069,0.77479,0.97915,0.000803721,0.000803721,0.000803721
7,55.232,1.26506,0.72705,0.97079,0.64065,0.47417,0.54292,0.30102,1.30963,0.773,0.98099,0.00064616,0.00064616,0.00064616
8,61.9317,1.26547,0.7192,0.97556,0.62664,0.48057,0.5422,0.30044,1.30968,0.77273,0.97853,0.000488599,0.000488599,0.000488599
9,68.5759,1.26617,0.71545,0.96765,0.60134,0.5105,0.54251,0.3002,1.3107,0.77235,0.97938,0.000331038,0.000331038,0.000331038
10,75.638,1.26505,0.71887,0.97758,0.61046,0.51196,0.54284,0.29904,1.3105,0.76946,0.97966,0.000173476,0.000173476,0.000173476
