epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0658,1.31431,0.77174,0.99646,0.74579,0.48303,0.55007,0.30428,1.30752,0.76262,0.9806,0.0490165,0.00111002,0.00111002
2,17.2673,1.29858,0.76007,0.98545,0.67196,0.48865,0.54601,0.3007,1.31412,0.77791,0.98241,0.0234025,0.00202883,0.00202883
3,24.5489,1.28772,0.74582,0.98326,0.63254,0.50247,0.54748,0.30287,1.31644,0.78596,0.98238,0.00254354,0.00254354,0.00254354
4,32.1753,1.28571,0.74865,0.98164,0.63729,0.49545,0.5497,0.30469,1.31484,0.7847,0.98141,0.00222956,0.00222956,0.00222956
5,39.541,1.27823,0.73135,0.97792,0.61353,0.50835,0.5418,0.29947,1.3185,0.7849,0.98345,0.00191558,0.00191558,0.00191558
6,49.0476,1.26734,0.71718,0.97594,0.60021,0.4956,0.5406,0.29788,1.3211,0.78373,0.98549,0.0016016,0.0016016,0.0016016
7,56.282,1.25521,0.71588,0.96671,0.60499,0.49215,0.54038,0.29648,1.3243,0.78621,0.98638,0.00128763,0.00128763,0.00128763
8,63.5867,1.25586,0.70815,0.97208,0.60209,0.49957,0.53927,0.29573,1.32244,0.78408,0.9853,0.000973648,0.000973648,0.000973648
9,70.7554,1.2537,0.70254,0.96325,0.59578,0.51578,0.5433,0.29751,1.32431,0.78438,0.98706,0.00065967,0.00065967,0.00065967
10,80.0185,1.24825,0.70474,0.97105,0.60385,0.50702,0.54183,0.29707,1.32163,0.78048,0.98589,0.000345693,0.000345693,0.000345693
