epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.46806,1.44755,0.95698,1.04804,0.49217,0.3247,0.34976,0.17219,1.54297,1.16651,1.08825,0.0589064,0.00152692,0.00152692
2,16.7333,1.50289,1.06133,1.08337,0.52163,0.31316,0.31298,0.1512,1.58399,1.26067,1.15404,0.0283909,0.00279081,0.00279081
3,23.947,1.53286,1.10561,1.10971,0.4367,0.31498,0.32517,0.16071,1.59857,1.31715,1.15933,0.00349882,0.00349882,0.00349882
4,31.4229,1.53621,1.10669,1.11386,0.42161,0.31284,0.30129,0.14022,1.58948,1.28799,1.15376,0.00306692,0.00306692,0.00306692
5,39.0217,1.52275,1.08896,1.11195,0.52683,0.33522,0.32459,0.15742,1.56915,1.19425,1.13492,0.00263502,0.00263502,0.00263502
6,46.434,1.50258,1.04427,1.09942,0.57065,0.34586,0.36878,0.18241,1.52075,1.0748,1.10503,0.00220312,0.00220312,0.00220312
7,53.9801,1.45065,1.00151,1.07245,0.58667,0.37579,0.40245,0.19681,1.51866,1.05471,1.09944,0.00177122,0.00177122,0.00177122
8,63.7875,1.4377,0.97074,1.0666,0.49396,0.37854,0.40357,0.2029,1.48375,1.02543,1.08194,0.00133932,0.00133932,0.00133932
9,71.1103,1.41327,0.93148,1.04393,0.59888,0.38993,0.40592,0.20918,1.47166,1.00893,1.07301,0.000907424,0.000907424,0.000907424
10,78.14,1.38309,0.89829,1.04225,0.59457,0.403,0.42592,0.21805,1.45084,0.97927,1.06394,0.000475525,0.000475525,0.000475525
