epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.092,1.33694,0.81021,1.00175,0.72481,0.46513,0.51437,0.27752,1.35297,0.83609,0.99722,0.029347,0.000214089,0.000214089
2,16.0002,1.33006,0.80578,0.99457,0.63207,0.48415,0.51123,0.28236,1.33437,0.83873,0.99376,0.0133891,0.0003913,0.0003913
3,25.8626,1.30373,0.78399,0.98917,0.57476,0.5136,0.52392,0.28422,1.33481,0.82925,0.99709,0.00049057,0.00049057,0.00049057
4,32.8649,1.29996,0.77295,0.9905,0.66098,0.48036,0.53289,0.28878,1.34153,0.8235,0.99778,0.000430013,0.000430013,0.000430013
5,39.8616,1.29138,0.75736,0.98607,0.56862,0.50868,0.52338,0.28311,1.34159,0.82544,0.99935,0.000369457,0.000369457,0.000369457
6,46.7808,1.27622,0.74209,0.98246,0.57386,0.48896,0.5177,0.27642,1.35155,0.8322,1.00154,0.0003089,0.0003089,0.0003089
7,56.6641,1.26485,0.73722,0.97366,0.59078,0.49299,0.51934,0.27996,1.34255,0.82815,0.99951,0.000248343,0.000248343,0.000248343
8,64.226,1.25498,0.72115,0.9758,0.6469,0.47704,0.53119,0.28235,1.34373,0.82315,1.00103,0.000187787,0.000187787,0.000187787
9,71.3287,1.25437,0.71463,0.96561,0.62061,0.48074,0.52618,0.28617,1.34107,0.81676,0.99994,0.00012723,0.00012723,0.00012723
10,78.3335,1.2441,0.70733,0.97298,0.63827,0.4782,0.52755,0.28643,1.33936,0.81296,0.99846,6.66735e-05,6.66735e-05,6.66735e-05
