epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6798,1.2764,0.73315,0.96659,0.70135,0.48856,0.54041,0.29565,1.26187,0.73476,0.95014,0.0804575,0.000276749,0.000276749
2,14.0261,1.25681,0.72442,0.95723,0.71522,0.48119,0.54001,0.29408,1.26944,0.74086,0.95138,0.0633055,0.000513368,0.000513368
3,19.705,1.26193,0.71716,0.95676,0.62485,0.50673,0.53774,0.2944,1.26836,0.74634,0.95033,0.0460955,0.000691969,0.000691969
4,25.2167,1.24972,0.70688,0.95366,0.62563,0.49318,0.53341,0.29101,1.26702,0.745,0.95043,0.0288275,0.00081255,0.00081255
5,30.6735,1.25522,0.70934,0.95882,0.64095,0.48433,0.53526,0.29257,1.26723,0.7423,0.95108,0.0115015,0.000875111,0.000875111
6,36.1512,1.24251,0.69552,0.94812,0.641,0.48356,0.53193,0.29044,1.2681,0.74371,0.95082,0.000822106,0.000822106,0.000822106
7,41.6631,1.2381,0.69995,0.9497,0.65379,0.48281,0.53272,0.29133,1.26616,0.74219,0.95036,0.000660941,0.000660941,0.000660941
8,48.8553,1.23216,0.69025,0.94954,0.66129,0.48227,0.53603,0.29157,1.26835,0.74238,0.9505,0.000499775,0.000499775,0.000499775
9,54.4916,1.23699,0.6954,0.94849,0.65077,0.48256,0.53556,0.29157,1.26611,0.74206,0.95011,0.00033861,0.00033861,0.00033861
10,60.051,1.22839,0.68957,0.94666,0.64197,0.48067,0.53588,0.29151,1.2655,0.74162,0.94977,0.000177445,0.000177445,0.000177445
