epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.05927,1.27804,0.73653,0.96639,0.73204,0.46639,0.53514,0.29002,1.27458,0.74542,0.95238,0.0153897,4.67852e-05,4.67852e-05
2,11.3605,1.25653,0.72329,0.95346,0.71301,0.47519,0.53239,0.28737,1.27848,0.75215,0.95155,0.0121023,8.67865e-05,8.67865e-05
3,16.7153,1.26067,0.71176,0.95458,0.5818,0.49088,0.52646,0.28667,1.27633,0.75115,0.95112,0.00880514,0.000116979,0.000116979
4,22.1088,1.24251,0.7005,0.95137,0.62182,0.46611,0.52912,0.2897,1.27275,0.74818,0.94989,0.00549814,0.000137364,0.000137364
5,30.0199,1.2427,0.69664,0.9517,0.62471,0.46911,0.53192,0.28981,1.27064,0.74863,0.9492,0.00218134,0.00014794,0.00014794
6,35.7382,1.23213,0.68495,0.94326,0.61307,0.47611,0.52814,0.28635,1.2746,0.75192,0.95036,0.00013898,0.00013898,0.00013898
7,41.5254,1.22199,0.68681,0.94227,0.61914,0.47666,0.53003,0.28714,1.27583,0.75348,0.95106,0.000111734,0.000111734,0.000111734
8,47.0157,1.20993,0.67442,0.94118,0.60562,0.48244,0.52612,0.28705,1.27836,0.75322,0.95145,8.44885e-05,8.44885e-05,8.44885e-05
9,52.6473,1.21188,0.67391,0.93873,0.60421,0.47781,0.52596,0.28571,1.27777,0.75495,0.95127,5.7243e-05,5.7243e-05,5.7243e-05
10,58.2978,1.20255,0.66796,0.93742,0.61304,0.476,0.52635,0.28442,1.27738,0.75552,0.95131,2.99976e-05,2.99976e-05,2.99976e-05
