epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2799,1.27649,0.73296,0.96702,0.7071,0.48548,0.54175,0.29594,1.26027,0.73142,0.9487,0.0403755,6.90378e-05,6.90378e-05
2,14.7046,1.26127,0.72626,0.95937,0.59871,0.48914,0.53906,0.29425,1.26413,0.73408,0.95089,0.0316934,0.000128065,0.000128065
3,20.2563,1.26814,0.721,0.96032,0.60601,0.4847,0.53806,0.293,1.26757,0.73578,0.95156,0.0229968,0.000172619,0.000172619
4,25.618,1.25838,0.7112,0.95761,0.61246,0.48236,0.53846,0.29235,1.26746,0.73815,0.95156,0.0142857,0.000202699,0.000202699
5,30.935,1.26677,0.71761,0.96314,0.59864,0.50271,0.53726,0.29272,1.26753,0.73893,0.95109,0.00556013,0.000218306,0.000218306
6,39.4694,1.25591,0.7101,0.95366,0.60938,0.47809,0.53717,0.29046,1.26766,0.73905,0.95077,0.000205083,0.000205083,0.000205083
7,45.1365,1.2531,0.7158,0.95446,0.61423,0.47219,0.53476,0.29072,1.26697,0.73848,0.95059,0.000164878,0.000164878,0.000164878
8,50.3199,1.25171,0.70831,0.95712,0.61075,0.47867,0.53485,0.29085,1.26713,0.73847,0.95053,0.000124674,0.000124674,0.000124674
9,55.5506,1.25814,0.71695,0.95571,0.62281,0.49499,0.5348,0.2913,1.26726,0.7392,0.9507,8.44698e-05,8.44698e-05,8.44698e-05
10,60.7712,1.25267,0.71163,0.95523,0.61976,0.49298,0.5349,0.29118,1.26655,0.73855,0.95044,4.42654e-05,4.42654e-05,4.42654e-05
