epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41315,1.29483,0.76911,0.97084,0.72019,0.42147,0.48197,0.25951,1.33238,0.86038,0.97341,0.0688218,3.65947e-05,3.65947e-05
2,12.0684,1.27621,0.7459,0.96207,0.67529,0.4242,0.4733,0.25413,1.32128,0.82423,0.96382,0.0539358,6.78831e-05,6.78831e-05
3,17.7929,1.28088,0.73867,0.96349,0.57954,0.45613,0.49575,0.27159,1.29743,0.80006,0.96361,0.0390422,9.14996e-05,9.14996e-05
4,25.3031,1.25645,0.71509,0.9557,0.59492,0.4674,0.51257,0.28173,1.28663,0.77175,0.95958,0.0241408,0.000107444,0.000107444
5,30.9417,1.25718,0.707,0.9572,0.61379,0.48073,0.52519,0.28774,1.27988,0.7581,0.95688,0.00923183,0.000115717,0.000115717
6,36.653,1.23506,0.68936,0.94518,0.57316,0.49464,0.5246,0.28612,1.28052,0.7592,0.95715,0.000108708,0.000108708,0.000108708
7,42.2366,1.22875,0.68962,0.94647,0.59096,0.49342,0.52814,0.28403,1.28286,0.75791,0.95862,8.73967e-05,8.73967e-05,8.73967e-05
8,47.832,1.2181,0.67628,0.94507,0.57659,0.50336,0.5278,0.28398,1.28078,0.75616,0.95733,6.60857e-05,6.60857e-05,6.60857e-05
9,53.3108,1.22124,0.67875,0.94369,0.59962,0.49047,0.52628,0.28333,1.28151,0.75672,0.95776,4.47747e-05,4.47747e-05,4.47747e-05
10,60.6011,1.21101,0.67289,0.94053,0.59949,0.48825,0.52493,0.28319,1.28095,0.75687,0.95729,2.34636e-05,2.34636e-05,2.34636e-05
