epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43766,1.28993,0.76073,0.96894,0.69234,0.43959,0.49183,0.26086,1.32618,0.82983,0.97083,0.0525955,2.29739e-05,2.29739e-05
2,12.3859,1.27167,0.74488,0.95915,0.68774,0.43045,0.49171,0.26369,1.30652,0.80145,0.95734,0.0412139,4.26167e-05,4.26167e-05
3,20.2986,1.2708,0.7257,0.95751,0.64044,0.46018,0.51434,0.28162,1.28881,0.77116,0.95219,0.0298274,5.7443e-05,5.7443e-05
4,26.0135,1.24835,0.70874,0.95234,0.64939,0.47492,0.52551,0.28585,1.28168,0.7571,0.95107,0.0184362,6.74528e-05,6.74528e-05
5,31.6438,1.25043,0.7024,0.95423,0.58569,0.50151,0.52796,0.28794,1.2756,0.74912,0.94973,0.00704009,7.26463e-05,7.26463e-05
6,37.1941,1.23613,0.68783,0.94322,0.61118,0.48556,0.52808,0.28805,1.27574,0.74679,0.95068,6.82461e-05,6.82461e-05,6.82461e-05
7,42.7321,1.22923,0.69075,0.94414,0.63034,0.48373,0.53097,0.28833,1.27445,0.74558,0.951,5.48672e-05,5.48672e-05,5.48672e-05
8,48.2056,1.22167,0.68128,0.94489,0.62201,0.49069,0.52902,0.28721,1.27488,0.7442,0.95074,4.14882e-05,4.14882e-05,4.14882e-05
9,55.6193,1.22657,0.6833,0.94311,0.60485,0.49511,0.5265,0.28673,1.27525,0.74402,0.95099,2.81093e-05,2.81093e-05,2.81093e-05
10,61.083,1.21878,0.67971,0.94111,0.61128,0.49531,0.52875,0.28637,1.27549,0.74404,0.95124,1.47303e-05,1.47303e-05,1.47303e-05
