epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92689,1.31436,0.77316,0.99706,0.76244,0.47328,0.55051,0.30437,1.30808,0.76058,0.98101,0.0368245,0.000628398,0.000628398
2,15.2069,1.30261,0.7599,0.98755,0.655,0.47173,0.5465,0.30181,1.31092,0.76793,0.98278,0.0194945,0.00114855,0.00114855
3,22.6597,1.28973,0.74662,0.98526,0.65811,0.50015,0.54401,0.30173,1.31135,0.77765,0.98257,0.00203656,0.00154072,0.00154072
4,32.2877,1.28743,0.75183,0.98358,0.64033,0.48946,0.5401,0.29893,1.31261,0.7808,0.98272,0.00136316,0.00136316,0.00136316
5,39.4343,1.28172,0.73871,0.98157,0.63616,0.49883,0.54473,0.30463,1.30938,0.779,0.98184,0.00117119,0.00117119,0.00117119
6,46.6509,1.27323,0.72311,0.9789,0.64112,0.5043,0.54243,0.30154,1.31542,0.77957,0.98352,0.000979223,0.000979223,0.000979223
7,53.658,1.26074,0.72184,0.97027,0.72777,0.48297,0.54293,0.29834,1.31274,0.7784,0.98414,0.000787257,0.000787257,0.000787257
8,63.3682,1.26263,0.71644,0.9755,0.6024,0.4934,0.53875,0.2979,1.31537,0.77852,0.98274,0.00059529,0.00059529,0.00059529
9,71.0329,1.25974,0.71016,0.96655,0.6048,0.49106,0.53443,0.29673,1.31496,0.78003,0.98375,0.000403324,0.000403324,0.000403324
10,78.1865,1.25757,0.71323,0.97592,0.61221,0.4909,0.5369,0.29631,1.31484,0.77681,0.98405,0.000211357,0.000211357,0.000211357
