epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.9296,1.31497,0.77599,0.99837,0.73484,0.48523,0.54703,0.30256,1.31065,0.76065,0.98271,0.0179463,0.0011536,0.0011536
2,14.882,1.30945,0.76599,0.99048,0.62922,0.48279,0.54111,0.29873,1.31295,0.76603,0.98351,0.00960061,0.00210849,0.00210849
3,25.3184,1.2928,0.75015,0.98548,0.65254,0.50611,0.54153,0.29888,1.31301,0.77752,0.98159,0.0026434,0.0026434,0.0026434
4,32.6335,1.29312,0.75331,0.98436,0.63103,0.50002,0.54163,0.30018,1.3134,0.78107,0.98052,0.0023171,0.0023171,0.0023171
5,39.4532,1.2854,0.74037,0.98165,0.63848,0.47518,0.53885,0.29944,1.31225,0.77898,0.98023,0.00199079,0.00199079,0.00199079
6,46.0527,1.2728,0.72462,0.97808,0.72183,0.48242,0.5376,0.29726,1.31186,0.77985,0.98006,0.00166449,0.00166449,0.00166449
7,55.0841,1.26157,0.72372,0.96949,0.60675,0.47997,0.53397,0.29692,1.31466,0.78178,0.98156,0.00133818,0.00133818,0.00133818
8,61.9543,1.25937,0.71461,0.97272,0.60508,0.48985,0.53614,0.29773,1.31579,0.77963,0.98093,0.00101188,0.00101188,0.00101188
9,68.7633,1.26113,0.70901,0.96543,0.59689,0.50001,0.53877,0.29678,1.31958,0.77965,0.9849,0.00068557,0.00068557,0.00068557
10,75.8221,1.25573,0.71141,0.97468,0.60702,0.49414,0.54163,0.29667,1.31663,0.77663,0.98293,0.000359265,0.000359265,0.000359265
