epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.88252,1.37333,0.85476,1.01618,0.68501,0.40563,0.45416,0.23636,1.42908,0.95328,1.03223,0.0630007,0.000338828,0.000338828
2,15.0044,1.36898,0.85553,1.01401,0.55374,0.45279,0.48575,0.2575,1.3736,0.88668,1.01631,0.0285761,0.000619291,0.000619291
3,23.6108,1.34496,0.84352,1.00819,0.58152,0.46791,0.49687,0.26432,1.36575,0.87561,1.01167,0.000776401,0.000776401,0.000776401
4,30.8157,1.33214,0.81735,1.00628,0.67251,0.43694,0.49241,0.25962,1.3582,0.87126,1.01198,0.000680561,0.000680561,0.000680561
5,38.1311,1.32617,0.80049,1.00263,0.55663,0.46529,0.50014,0.26812,1.35997,0.86028,1.00755,0.000584721,0.000584721,0.000584721
6,45.6321,1.29891,0.77024,0.99429,0.5737,0.4695,0.50526,0.27218,1.36296,0.85602,1.00916,0.000488881,0.000488881,0.000488881
7,53.1687,1.28838,0.75518,0.98581,0.57952,0.47456,0.50652,0.26984,1.36554,0.85248,1.01088,0.000393041,0.000393041,0.000393041
8,62.7403,1.27669,0.73998,0.98651,0.57625,0.46082,0.49847,0.26792,1.36372,0.84804,1.01013,0.000297201,0.000297201,0.000297201
9,70.2195,1.26421,0.7301,0.97228,0.61164,0.47452,0.51287,0.27262,1.35693,0.84079,1.00668,0.000201361,0.000201361,0.000201361
10,77.5573,1.25428,0.71648,0.97835,0.60467,0.45531,0.5063,0.27281,1.35579,0.83554,1.00608,0.000105521,0.000105521,0.000105521
