epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.20011,1.31355,0.77216,0.99639,0.76439,0.47623,0.54935,0.30263,1.30992,0.76066,0.9821,0.0568599,7.8488e-05,7.8488e-05
2,15.6074,1.30597,0.76374,0.98941,0.6413,0.48748,0.54509,0.29785,1.31266,0.76713,0.98396,0.0289231,0.000143456,0.000143456
3,23.1548,1.2963,0.75268,0.9879,0.63337,0.48654,0.54344,0.29795,1.3126,0.76924,0.9826,0.000970267,0.000192439,0.000192439
4,30.5948,1.29699,0.75718,0.98826,0.64086,0.4816,0.54358,0.29817,1.31119,0.76927,0.98185,0.000170261,0.000170261,0.000170261
5,39.3678,1.29854,0.74801,0.98655,0.63373,0.48491,0.54209,0.29709,1.30877,0.76852,0.98107,0.000146284,0.000146284,0.000146284
6,46.4979,1.28985,0.73973,0.98499,0.64564,0.48308,0.54314,0.2997,1.30772,0.76842,0.98066,0.000122307,0.000122307,0.000122307
7,53.4333,1.2805,0.74528,0.97793,0.64302,0.4829,0.5442,0.30129,1.30608,0.76693,0.98011,9.83298e-05,9.83298e-05,9.83298e-05
8,60.6178,1.28705,0.74089,0.98522,0.64387,0.48233,0.54308,0.30111,1.30677,0.76667,0.97998,7.43528e-05,7.43528e-05,7.43528e-05
9,69.5572,1.29246,0.73786,0.97915,0.64143,0.48396,0.54191,0.29945,1.3074,0.76714,0.9804,5.03759e-05,5.03759e-05,5.03759e-05
10,77.0415,1.29073,0.74493,0.98836,0.64338,0.48266,0.54008,0.29947,1.30702,0.76679,0.97996,2.63989e-05,2.63989e-05,2.63989e-05
