epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90551,1.36039,0.83124,1.01022,0.70014,0.43522,0.4812,0.25679,1.39097,0.90495,1.01233,0.0479616,0.000351408,0.000351408
2,17.9899,1.35594,0.8337,1.00704,0.56743,0.4591,0.49201,0.26361,1.36277,0.86953,1.00917,0.0247735,0.000642284,0.000642284
3,25.5777,1.33556,0.82654,1.00357,0.54236,0.48691,0.49996,0.26656,1.371,0.87587,1.01093,0.00151379,0.000861593,0.000861593
4,33.3134,1.3304,0.81617,1.00416,0.66348,0.46199,0.48569,0.25928,1.36792,0.8683,1.01087,0.000762295,0.000762295,0.000762295
5,41.1077,1.3279,0.79524,0.99936,0.57973,0.45588,0.4875,0.26197,1.36745,0.86866,1.01201,0.000654945,0.000654945,0.000654945
6,50.6511,1.2989,0.77663,0.99351,0.57576,0.4587,0.49811,0.26678,1.36531,0.8543,1.01337,0.000547594,0.000547594,0.000547594
7,58.1793,1.28649,0.75837,0.98362,0.59296,0.46221,0.50376,0.26718,1.36857,0.85178,1.01259,0.000440244,0.000440244,0.000440244
8,65.2984,1.27271,0.74329,0.98488,0.56579,0.47016,0.50002,0.2702,1.36682,0.85134,1.01137,0.000332894,0.000332894,0.000332894
9,72.3392,1.26015,0.73168,0.97102,0.58139,0.47268,0.51084,0.27406,1.36256,0.84332,1.00957,0.000225544,0.000225544,0.000225544
10,79.6387,1.25257,0.71779,0.97643,0.58457,0.4703,0.51184,0.27427,1.35919,0.83482,1.00863,0.000118194,0.000118194,0.000118194
