epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02672,1.31468,0.77331,0.99733,0.7453,0.48157,0.54897,0.30369,1.30907,0.75904,0.98241,0.0325422,0.000715919,0.000715919
2,15.0069,1.30472,0.76206,0.98845,0.61814,0.49048,0.54703,0.30128,1.31085,0.76719,0.98271,0.0174397,0.00130852,0.00130852
3,22.0178,1.29009,0.74657,0.98507,0.65059,0.49451,0.54339,0.30216,1.31126,0.77684,0.98216,0.00219129,0.00175531,0.00175531
4,28.8612,1.28993,0.75077,0.9839,0.6613,0.49257,0.54062,0.30021,1.31235,0.77998,0.98284,0.00155301,0.00155301,0.00155301
5,38.3067,1.28458,0.73868,0.98155,0.63495,0.49923,0.54327,0.30271,1.30995,0.77729,0.98196,0.00133431,0.00133431,0.00133431
6,45.0726,1.27388,0.72405,0.97848,0.65237,0.49974,0.54346,0.30052,1.31197,0.77604,0.98151,0.00111561,0.00111561,0.00111561
7,51.8097,1.26391,0.72414,0.97137,0.62286,0.48525,0.54432,0.29931,1.31099,0.77675,0.98293,0.000896903,0.000896903,0.000896903
8,59.3422,1.26259,0.71531,0.97508,0.59781,0.49336,0.53825,0.29696,1.31238,0.77615,0.98206,0.0006782,0.0006782,0.0006782
9,69.1614,1.26287,0.71076,0.96747,0.62189,0.49695,0.53431,0.29776,1.3129,0.77714,0.98391,0.000459497,0.000459497,0.000459497
10,76.5078,1.25974,0.71535,0.97713,0.61084,0.50235,0.54021,0.2991,1.31177,0.77433,0.98288,0.000240794,0.000240794,0.000240794
