epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.01282,1.31383,0.77411,0.99725,0.75666,0.48206,0.55004,0.30243,1.31052,0.76015,0.98239,0.0647641,7.05965e-05,7.05965e-05
2,15.2738,1.31314,0.76991,0.99206,0.63259,0.48879,0.54247,0.29708,1.31507,0.76762,0.98656,0.0329189,0.000129032,0.000129032
3,25.5109,1.30196,0.75791,0.99102,0.64411,0.49834,0.54092,0.29689,1.31609,0.76956,0.98687,0.0010593,0.000173091,0.000173091
4,32.8107,1.30863,0.76495,0.99346,0.63063,0.50342,0.53968,0.2952,1.31725,0.77046,0.98695,0.000153142,0.000153142,0.000153142
5,39.7056,1.30718,0.7569,0.99058,0.65095,0.48644,0.54069,0.29632,1.31655,0.76924,0.9864,0.000131576,0.000131576,0.000131576
6,46.9282,1.299,0.74857,0.98963,0.63481,0.49519,0.54085,0.29732,1.31491,0.76885,0.98541,0.00011001,0.00011001,0.00011001
7,54.331,1.29036,0.7541,0.98238,0.63369,0.49537,0.54233,0.29831,1.31398,0.76697,0.98517,8.84433e-05,8.84433e-05,8.84433e-05
8,64.9838,1.29539,0.74996,0.98956,0.63998,0.49645,0.54259,0.29791,1.31381,0.76824,0.98437,6.68771e-05,6.68771e-05,6.68771e-05
9,72.2464,1.30373,0.74703,0.98414,0.63113,0.48395,0.53931,0.29674,1.3136,0.76976,0.98404,4.53109e-05,4.53109e-05,4.53109e-05
10,79.0086,1.30261,0.75682,0.99421,0.62859,0.487,0.54091,0.29748,1.31295,0.76885,0.98369,2.37446e-05,2.37446e-05,2.37446e-05
