epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.67027,1.35554,0.82449,1.00781,0.6997,0.44288,0.49487,0.26259,1.37089,0.87285,1.0042,0.0336105,0.000656569,0.000656569
2,17.0543,1.37373,0.86508,1.01418,0.64643,0.43627,0.4555,0.23833,1.41085,0.93394,1.02714,0.0179027,0.00120004,0.00120004
3,24.4476,1.37939,0.88738,1.02391,0.57313,0.4,0.44383,0.22918,1.3988,0.94973,1.0261,0.00206122,0.0016098,0.0016098
4,31.642,1.37759,0.88305,1.02928,0.61652,0.41266,0.43076,0.22358,1.41544,0.9613,1.03488,0.00142427,0.00142427,0.00142427
5,40.4271,1.37902,0.86723,1.02735,0.5428,0.44296,0.46486,0.23863,1.4115,0.94143,1.03275,0.00122369,0.00122369,0.00122369
6,47.4872,1.34161,0.82309,1.01168,0.55445,0.43761,0.47191,0.24599,1.40415,0.91831,1.03059,0.00102312,0.00102312,0.00102312
7,54.6796,1.31841,0.80579,0.99886,0.66224,0.43745,0.47955,0.2504,1.39657,0.90602,1.02648,0.00082255,0.00082255,0.00082255
8,62.3715,1.30329,0.7796,0.99793,0.69866,0.43327,0.48852,0.25603,1.38564,0.89116,1.02374,0.000621977,0.000621977,0.000621977
9,71.544,1.28701,0.75778,0.98151,0.55185,0.47293,0.48614,0.25962,1.37883,0.87371,1.02106,0.000421405,0.000421405,0.000421405
10,79.2811,1.2627,0.73241,0.98372,0.5637,0.47435,0.49296,0.26453,1.37515,0.86015,1.01742,0.000220832,0.000220832,0.000220832
