epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.57361,1.3173,0.78464,0.99999,0.74411,0.48871,0.54688,0.30076,1.31224,0.76383,0.98452,0.000205135,0.000205135,0.000205135
2,14.595,1.32155,0.78362,0.99693,0.6205,0.49146,0.53804,0.29428,1.31984,0.77377,0.98939,0.000184827,0.000184827,0.000184827
3,21.7776,1.30703,0.76634,0.99412,0.60672,0.49125,0.53569,0.2944,1.32182,0.77392,0.98949,0.000164519,0.000164519,0.000164519
4,31.9299,1.3111,0.76959,0.99485,0.61321,0.48381,0.53608,0.29522,1.31928,0.77282,0.98678,0.00014421,0.00014421,0.00014421
5,39.3369,1.30884,0.75842,0.99199,0.61365,0.48676,0.53654,0.29534,1.31541,0.77044,0.98515,0.000123902,0.000123902,0.000123902
6,46.2212,1.29997,0.74891,0.99067,0.62625,0.48377,0.53757,0.29656,1.31392,0.7698,0.98451,0.000103593,0.000103593,0.000103593
7,53.2545,1.29108,0.7539,0.98251,0.63193,0.48616,0.53934,0.2979,1.3129,0.76882,0.98433,8.3285e-05,8.3285e-05,8.3285e-05
8,60.348,1.2928,0.74912,0.98855,0.63466,0.48285,0.53869,0.29801,1.31259,0.76883,0.98398,6.29766e-05,6.29766e-05,6.29766e-05
9,70.5078,1.30064,0.74588,0.98351,0.6304,0.48,0.53868,0.29822,1.3138,0.76976,0.98431,4.26682e-05,4.26682e-05,4.26682e-05
10,77.4834,1.29959,0.754,0.99353,0.63198,0.48317,0.53928,0.29822,1.3129,0.76864,0.98382,2.23598e-05,2.23598e-05,2.23598e-05
