epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.84308,1.37172,0.85781,1.01991,0.60303,0.44121,0.49546,0.26276,1.37567,0.89244,1.01188,0.000772872,0.000772872,0.000772872
2,17.1054,1.37463,0.86447,1.01967,0.56394,0.4501,0.48857,0.26268,1.36283,0.87926,1.01499,0.000696357,0.000696357,0.000696357
3,24.5209,1.34997,0.83953,1.01448,0.56387,0.4671,0.50056,0.26361,1.35445,0.86179,1.00892,0.000619843,0.000619843,0.000619843
4,31.9309,1.33196,0.81078,1.00735,0.68056,0.46369,0.49964,0.26651,1.35428,0.85854,1.00932,0.000543329,0.000543329,0.000543329
5,39.2594,1.31053,0.78438,0.99764,0.67338,0.4645,0.50456,0.2707,1.34945,0.84798,1.00721,0.000466814,0.000466814,0.000466814
6,48.4769,1.28924,0.7521,0.99195,0.58339,0.46606,0.51118,0.27463,1.35259,0.84046,1.00729,0.0003903,0.0003903,0.0003903
7,55.9253,1.27553,0.74524,0.98128,0.57418,0.47507,0.50956,0.2732,1.35261,0.83555,1.00861,0.000313786,0.000313786,0.000313786
8,63.2538,1.262,0.72501,0.98298,0.57281,0.49156,0.50947,0.27375,1.34739,0.83173,1.003,0.000237272,0.000237272,0.000237272
9,70.3725,1.24999,0.7098,0.96424,0.60646,0.48207,0.51534,0.28076,1.34588,0.82648,1.00202,0.000160757,0.000160757,0.000160757
10,79.24,1.24127,0.70198,0.97176,0.60659,0.4778,0.51455,0.28031,1.34076,0.82287,0.99927,8.4243e-05,8.4243e-05,8.4243e-05
