epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.332,1.30026,0.77286,0.97314,0.69791,0.43394,0.48518,0.2593,1.33393,0.83763,0.97404,0.0457558,0.000309847,0.000309847
2,11.9663,1.31567,0.80905,0.97849,0.53622,0.42038,0.44946,0.23963,1.36309,0.89797,0.98564,0.036165,0.000574767,0.000574767
3,17.5153,1.33829,0.81791,0.98945,0.62451,0.41231,0.44625,0.22883,1.3712,0.87627,0.99355,0.0265092,0.000774728,0.000774728
4,23.0656,1.32216,0.79841,0.98276,0.53595,0.40405,0.44313,0.22935,1.37609,0.89146,0.98957,0.0167884,0.00090973,0.00090973
5,28.6055,1.32776,0.8015,0.98485,0.6425,0.42939,0.45449,0.23841,1.35781,0.8798,0.98834,0.00700273,0.000979774,0.000979774
6,36.7959,1.29656,0.78988,0.97392,0.63743,0.4195,0.44909,0.23563,1.35786,0.89738,0.99163,0.000920429,0.000920429,0.000920429
7,42.2389,1.294,0.77678,0.97734,0.54096,0.43312,0.45513,0.23479,1.36543,0.88357,0.99672,0.000739988,0.000739988,0.000739988
8,47.6022,1.27369,0.7612,0.97002,0.52932,0.43252,0.45071,0.23791,1.35102,0.88088,0.98929,0.000559548,0.000559548,0.000559548
9,52.7811,1.25893,0.7451,0.96152,0.5459,0.43804,0.46232,0.24279,1.34382,0.86183,0.985,0.000379107,0.000379107,0.000379107
10,58.003,1.23516,0.7194,0.95424,0.56102,0.43478,0.47022,0.24897,1.33683,0.84661,0.98215,0.000198667,0.000198667,0.000198667
