epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.07083,1.31453,0.77432,0.99772,0.75306,0.4803,0.5498,0.30395,1.30944,0.75959,0.98222,0.032436,0.000658732,0.000658732
2,15.4882,1.30809,0.76498,0.99042,0.62666,0.48748,0.54446,0.29931,1.31141,0.76467,0.98296,0.0153815,0.00120399,0.00120399
3,24.6869,1.29351,0.74974,0.98602,0.65186,0.49791,0.54157,0.30131,1.31142,0.77445,0.9814,0.00150944,0.00150944,0.00150944
4,31.9418,1.29304,0.75362,0.9846,0.65616,0.50074,0.54569,0.30161,1.31211,0.77772,0.97981,0.00132311,0.00132311,0.00132311
5,38.9937,1.28626,0.74096,0.9815,0.66299,0.49058,0.54224,0.30191,1.30841,0.77745,0.97939,0.00113678,0.00113678,0.00113678
6,46.2015,1.27543,0.72566,0.97872,0.61848,0.4854,0.54138,0.30128,1.3112,0.77614,0.9792,0.000950456,0.000950456,0.000950456
7,53.2883,1.26442,0.72577,0.9706,0.61748,0.48984,0.54406,0.29953,1.31181,0.77595,0.98047,0.000764129,0.000764129,0.000764129
8,62.3751,1.26423,0.71722,0.974,0.6054,0.48697,0.53788,0.29816,1.31405,0.77591,0.97875,0.000577802,0.000577802,0.000577802
9,69.4565,1.2651,0.71251,0.96659,0.61276,0.49095,0.53961,0.29863,1.31393,0.7749,0.98009,0.000391475,0.000391475,0.000391475
10,76.435,1.26198,0.71528,0.97557,0.58795,0.50571,0.54018,0.29816,1.31426,0.77256,0.98045,0.000205148,0.000205148,0.000205148
