epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.69511,1.31433,0.77319,0.99739,0.72691,0.48928,0.55152,0.30418,1.30892,0.75948,0.98198,0.0370225,0.00105381,0.00105381
2,14.856,1.30478,0.76221,0.98836,0.63481,0.48294,0.54553,0.30096,1.31238,0.76618,0.98318,0.0179736,0.00192608,0.00192608
3,24.4064,1.29075,0.74737,0.98468,0.65787,0.49173,0.53978,0.29847,1.31183,0.77774,0.98195,0.00241472,0.00241472,0.00241472
4,31.6901,1.28909,0.75152,0.9831,0.63723,0.49776,0.53949,0.29895,1.31023,0.77856,0.98035,0.00211664,0.00211664,0.00211664
5,38.6072,1.28357,0.73685,0.97998,0.61825,0.50229,0.53813,0.30094,1.31081,0.77604,0.98053,0.00181857,0.00181857,0.00181857
6,45.6863,1.27132,0.72195,0.97715,0.61505,0.48763,0.54421,0.30097,1.30925,0.77297,0.97937,0.00152049,0.00152049,0.00152049
7,55.3228,1.26065,0.72124,0.96841,0.71064,0.4832,0.54171,0.29906,1.31255,0.77486,0.98114,0.00122241,0.00122241,0.00122241
8,62.9781,1.26002,0.71445,0.97225,0.61303,0.48381,0.53711,0.29786,1.31086,0.77408,0.97906,0.000924338,0.000924338,0.000924338
9,69.9322,1.26034,0.7077,0.96518,0.5814,0.49979,0.5367,0.29745,1.31336,0.7748,0.98151,0.000626261,0.000626261,0.000626261
10,76.7653,1.25759,0.71203,0.97443,0.62248,0.47667,0.53877,0.29803,1.31139,0.77111,0.98,0.000328185,0.000328185,0.000328185
