epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5171,1.31405,0.77172,0.99693,0.75421,0.47638,0.54896,0.30418,1.30864,0.75974,0.98151,0.055256,0.000814647,0.000814647
2,17.9349,1.30247,0.7615,0.98758,0.64246,0.48246,0.55018,0.30198,1.31089,0.7665,0.9824,0.0290825,0.00148897,0.00148897
3,25.1227,1.2905,0.74685,0.98526,0.66382,0.49464,0.54301,0.30127,1.31222,0.77706,0.98271,0.00274315,0.00199738,0.00199738
4,32.1447,1.28887,0.75212,0.98338,0.6141,0.5055,0.54108,0.29779,1.31501,0.78129,0.98289,0.00176718,0.00176718,0.00176718
5,41.6058,1.28301,0.73868,0.98111,0.62758,0.48188,0.53819,0.29946,1.31211,0.78051,0.98317,0.00151832,0.00151832,0.00151832
6,49.0346,1.27267,0.72345,0.97844,0.60494,0.4904,0.53857,0.29785,1.31484,0.77906,0.98333,0.00126945,0.00126945,0.00126945
7,55.87,1.26256,0.72356,0.97037,0.71336,0.4873,0.53962,0.29705,1.31597,0.78388,0.98536,0.00102059,0.00102059,0.00102059
8,63.0039,1.25972,0.71554,0.9738,0.60115,0.48979,0.53476,0.29632,1.31834,0.78299,0.98346,0.000771727,0.000771727,0.000771727
9,70.024,1.25803,0.70972,0.96502,0.61049,0.48685,0.53503,0.2953,1.3187,0.78241,0.98521,0.000522864,0.000522864,0.000522864
10,79.6653,1.25567,0.71205,0.97476,0.60167,0.49164,0.53792,0.29732,1.31741,0.77859,0.98416,0.000274001,0.000274001,0.000274001
