epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.39862,1.31374,0.77138,0.9965,0.76304,0.47889,0.55025,0.3035,1.30773,0.7598,0.98091,0.0576527,0.000482924,0.000482924
2,16.3769,1.30069,0.76032,0.9866,0.62891,0.48478,0.54629,0.3014,1.31054,0.7674,0.98234,0.0298591,0.000882661,0.000882661
3,23.6128,1.29078,0.74734,0.98511,0.65527,0.48989,0.5438,0.30177,1.3101,0.77176,0.98085,0.00196719,0.00118405,0.00118405
4,31.0317,1.28846,0.74956,0.98315,0.62695,0.48082,0.54171,0.30011,1.30997,0.77517,0.97968,0.00104759,0.00104759,0.00104759
5,40.3736,1.2839,0.73738,0.9804,0.65239,0.48956,0.54423,0.30439,1.30599,0.77252,0.97847,0.00090006,0.00090006,0.00090006
6,47.8035,1.2759,0.72555,0.97873,0.66946,0.4899,0.54471,0.30467,1.30923,0.7716,0.97923,0.000752533,0.000752533,0.000752533
7,54.7644,1.26427,0.72506,0.97165,0.63051,0.50578,0.5454,0.30464,1.30839,0.77059,0.9807,0.000605007,0.000605007,0.000605007
8,61.7055,1.26789,0.72049,0.97614,0.63689,0.47808,0.54347,0.30108,1.30851,0.76938,0.97879,0.000457481,0.000457481,0.000457481
9,68.7611,1.26811,0.71477,0.96922,0.63131,0.47941,0.54329,0.30161,1.3087,0.77076,0.97985,0.000309954,0.000309954,0.000309954
10,77.7794,1.26647,0.71985,0.97861,0.62438,0.4804,0.54389,0.3015,1.30869,0.76855,0.9794,0.000162428,0.000162428,0.000162428
