epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.89067,1.31432,0.77158,0.99635,0.75189,0.47772,0.55106,0.30403,1.30909,0.76366,0.9811,0.0558787,0.00137354,0.00137354
2,15.3585,1.30059,0.75989,0.98596,0.66232,0.49355,0.54567,0.30113,1.31449,0.77808,0.98246,0.0301364,0.00251048,0.00251048
3,24.7915,1.28695,0.74246,0.98207,0.65323,0.49866,0.54778,0.30102,1.31522,0.78331,0.98211,0.00411434,0.00336769,0.00336769
4,32.1242,1.28611,0.74667,0.98233,0.62795,0.4996,0.54485,0.29986,1.3186,0.78686,0.98405,0.00297957,0.00297957,0.00297957
5,39.2834,1.27867,0.73236,0.97888,0.73089,0.48102,0.54274,0.2982,1.31922,0.78455,0.98494,0.00255997,0.00255997,0.00255997
6,46.4281,1.26762,0.71608,0.97563,0.70256,0.48305,0.53819,0.29655,1.32183,0.78666,0.98392,0.00214037,0.00214037,0.00214037
7,53.5168,1.2536,0.71403,0.96582,0.61219,0.48455,0.54126,0.29692,1.32348,0.78424,0.98478,0.00172078,0.00172078,0.00172078
8,62.7192,1.25188,0.70591,0.97004,0.62873,0.46523,0.53449,0.29509,1.32404,0.78645,0.98424,0.00130118,0.00130118,0.00130118
9,69.9989,1.25063,0.69964,0.96168,0.63144,0.47983,0.54311,0.29706,1.3261,0.78496,0.98675,0.00088158,0.00088158,0.00088158
10,76.9175,1.24358,0.69938,0.96879,0.60813,0.49555,0.54436,0.29655,1.32367,0.78235,0.98508,0.000461982,0.000461982,0.000461982
