trial_number,status,map50,map50_95,precision,recall,error_type,hp_imgsz,hp_batch,hp_optimizer,hp_lr0,hp_momentum,hp_weight_decay,hp_warmup_epochs,hp_warmup_momentum,hp_warmup_bias_lr,hp_mosaic,hp_mixup,hp_epochs,hp_device,hp_val,hp_patience,hp_save,hp_plots,hp_cache,hp_workers,hp_close_mosaic,hp_verbose,best_trial
16,completed,0.5523124078127452,0.30452663116135775,0.7640272376196551,0.4752168920072757,,768,16,SGD,0.0014266301191773261,0.9694581216785425,0.0005408962177381937,3,0.895636626196151,0.06052637637356499,0.879214287562742,0.06839573122710534,10,cuda,True,20,True,True,False,4,10,True,True
48,completed,0.5515195357308822,0.30390356926721707,0.7385501531676193,0.4866440305570906,,768,16,SGD,0.0030108714690406154,0.9355338523213478,5.7082509272671485e-05,2,0.7949180512220826,0.05533640948137008,0.8477257367869651,0.09790574762230997,10,cuda,True,20,True,True,False,4,10,True,False
21,completed,0.5513956214275897,0.30458378752762694,0.754924601995278,0.4802812702440532,,768,16,SGD,0.001614581866934814,0.9605221276293522,0.0004782343662535138,2,0.931693270428679,0.07837083112560542,0.9148455465976462,0.08448058220188287,10,cuda,True,20,True,True,False,4,10,True,False
45,completed,0.5513051269196347,0.30422725536234,0.7362609632710101,0.48929052442145904,,768,16,SGD,0.0022964095098238022,0.9484731054895351,6.762479011975347e-05,2,0.7581814547906824,0.06111191728965159,0.7712222579850774,0.028200191582070443,10,cuda,True,20,True,True,False,4,10,True,False
36,completed,0.5510819803987319,0.3049165085542242,0.7606000089962242,0.4760722665818699,,768,16,SGD,0.002513769064137078,0.965285528756196,0.00044820079347453797,3,0.8200534881358864,0.08054342536965375,0.7167535165176196,0.09611377761905936,10,cuda,True,20,True,True,False,4,10,True,False
41,completed,0.5510210345786372,0.3041826266445874,0.7539461016929557,0.48114963101164976,,768,16,SGD,0.0025688158465346196,0.9657721945876782,0.0003459319817016071,3,0.7851713200678588,0.0781222641589564,0.79913677432224,0.04454620383601893,10,cuda,True,20,True,True,False,4,10,True,False
43,completed,0.5509988518672129,0.30387455674170755,0.7567998540800858,0.48219037707030143,,768,16,SGD,0.00240468131213809,0.9611322047415322,5.233692727923508e-05,3,0.7245720707702696,0.08075049500401876,0.6479255701471229,0.03520920935337229,10,cuda,True,20,True,True,False,4,10,True,False
13,completed,0.5509496000491625,0.30319378217680437,0.7615855295393278,0.47969708493232216,,768,16,SGD,0.0003210971776214289,0.9394738965994355,0.0007193704932897428,3,0.8759902054909975,0.06325166481166189,0.9599505702973337,0.061381502450798424,10,cuda,True,20,True,True,False,4,10,True,False
17,completed,0.550632841784447,0.3041910312869836,0.7663873048142216,0.4760174578030063,,768,16,SGD,0.00159152704616347,0.9624087028389618,0.00037476809765594246,3,0.8396810944967362,0.06812719414230545,0.9216595553968547,0.06451181608318496,10,cuda,True,20,True,True,False,4,10,True,False
12,completed,0.549873191416895,0.3030600085225471,0.7551290100366677,0.48356912674459124,,768,16,SGD,0.00012529820223700834,0.9562786100488956,0.00038828555095284285,2,0.8639236520085273,0.04826005313047981,0.8944139703651505,0.09974640585253298,10,cuda,True,20,True,True,False,4,10,True,False
11,completed,0.5498105347141959,0.30309028990344933,0.7565361696185466,0.48345840472191404,,768,16,SGD,0.00024410349601541745,0.8930747248244582,0.0005570726749132452,2,0.9101104814047073,0.03483007779793158,0.9244608125169232,0.1387199550476394,10,cuda,True,20,True,True,False,4,10,True,False
2,completed,0.5496297075492725,0.30469142363204893,0.6571105748222201,0.48697884384878226,,768,16,AdamW,0.00019485671251272575,0.8578061911582335,0.000790261954970823,3,0.8637788066524075,0.03046137691733707,0.5488360570031919,0.1368466053024314,10,cuda,True,20,True,True,False,4,10,True,False
22,completed,0.5494450785405307,0.3057268143071696,0.6354274249380124,0.4979888427484517,,768,16,SGD,0.0031714909629523115,0.9559040261756974,0.00025442259257066617,1,0.9352212352301312,0.07370233444743512,0.8998145682788873,0.10861161697146811,10,cuda,True,20,True,True,False,4,10,True,False
18,completed,0.5493735196127256,0.3030441998907949,0.7574798219054297,0.48161353861512934,,768,16,SGD,0.00021784066901447158,0.894768675713657,0.00042959639049995336,3,0.7220683276477491,0.09571097693629732,0.978325500452809,0.09584266937755559,10,cuda,True,20,True,True,False,4,10,True,False
15,completed,0.5493270292808767,0.3028415828859003,0.7502401849090278,0.4850798629920902,,768,16,SGD,0.00012814337599323492,0.9683223368194535,0.0001993208959963419,3,0.7431002321688551,0.041761473784948294,0.999790179683723,0.022249693811966856,10,cuda,True,20,True,True,False,4,10,True,False
27,completed,0.5491152610248243,0.30311341071724796,0.7573279586022703,0.47929240316268434,,768,16,SGD,0.00024219163277840053,0.9468146687526185,0.0009911287712786904,3,0.931563649665869,0.08400543737690738,0.8627082684382505,0.04208205069943187,10,cuda,True,20,True,True,False,4,10,True,False
32,completed,0.5490064699617585,0.30336079452498366,0.7425678540259744,0.487060110923718,,768,16,SGD,0.0018820903064328083,0.9661371273532517,0.0008148999082197702,2,0.7820010900112135,0.0488880475978486,0.9209826482074976,0.07721115206698227,10,cuda,True,20,True,True,False,4,10,True,False
46,completed,0.5489345306908555,0.3036473747905093,0.7381848308480831,0.4868422621692991,,768,16,SGD,0.0032960106169408403,0.9517208974745655,0.0001241624535663803,1,0.6659592939138015,0.025834898702421068,0.6947603302623384,0.057400738043794176,10,cuda,True,20,True,True,False,4,10,True,False
38,completed,0.548897564169692,0.3031369770305036,0.7447777736547835,0.48277541504722093,,768,16,SGD,0.002209120220892346,0.953656263474475,0.00027343487681473694,3,0.8635404493873546,0.04708547933810078,0.571679563391267,0.1335317415171103,10,cuda,True,20,True,True,False,4,10,True,False
40,completed,0.5485284723762701,0.30413161986079307,0.751314803722014,0.47645801180809577,,768,16,SGD,0.004238363299228038,0.937785582217779,0.0006435238874789571,3,0.9118704091509159,0.08063783314575161,0.6573636260837369,0.06937512010427188,10,cuda,True,20,True,True,False,4,10,True,False
14,completed,0.5474558931042417,0.3018341232071695,0.7460459997797847,0.48818805930532017,,768,16,SGD,0.00020513541454570333,0.9536643685937104,0.00047218595675765283,0,0.8456889994190175,0.057788756708563926,0.8434594821218439,0.07951769913819613,10,cuda,True,20,True,True,False,4,10,True,False
0,completed,0.5472603824253411,0.30068006784276374,0.643851047305599,0.49107081340101466,,768,16,SGD,0.00018408992080552527,0.856970033460184,0.0005399484409787432,2,0.8186326600082204,0.0020584494295802446,0.9849549260809971,0.16648852816008436,10,cuda,True,20,True,True,False,4,10,True,False
25,completed,0.5470571618406048,0.30376465188665086,0.6648371617294428,0.4970363226087809,,768,16,SGD,0.0009733005404225808,0.9464608421103848,0.0005127372476074651,2,0.9064560435830135,0.03410677420328585,0.7651818852312828,0.05337689405774641,10,cuda,True,20,True,True,False,4,10,True,False
33,completed,0.5464430586153877,0.30604373362563697,0.6696182729459592,0.49075772778089527,,768,16,SGD,0.0014901652579887557,0.9458602088937411,0.0003359234987122446,3,0.8915346236840065,0.0845799854027304,0.9272908291245819,0.031021877591887466,10,cuda,True,20,True,True,False,4,10,True,False
37,completed,0.5458611789576657,0.30497381888905617,0.6501449093807856,0.5024764246267608,,768,16,SGD,0.002026738756039727,0.9610097746701791,0.0004388136654131202,2,0.7387001480187433,0.09084495144612491,0.6219258031285982,0.08121935706991841,10,cuda,True,20,True,True,False,4,10,True,False
