epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.87815,1.31939,0.77913,0.99558,0.74462,0.48529,0.54632,0.30052,1.31712,0.78339,0.98344,0.0206528,6.3148e-05,6.3148e-05
2,17.7328,1.29849,0.75568,0.98382,0.71633,0.49167,0.54512,0.30184,1.3135,0.78372,0.98334,0.0105513,0.000115418,0.000115418
3,25.479,1.28207,0.73572,0.98011,0.65666,0.49351,0.54995,0.30275,1.31178,0.78239,0.98369,0.000436878,0.000154828,0.000154828
4,32.8581,1.27707,0.73601,0.98028,0.66971,0.49612,0.54987,0.30171,1.31251,0.77975,0.98398,0.000136984,0.000136984,0.000136984
5,39.9736,1.27144,0.72003,0.97786,0.64139,0.4788,0.53852,0.2986,1.31274,0.78042,0.98466,0.000117693,0.000117693,0.000117693
6,47.3286,1.26034,0.70835,0.97351,0.65867,0.48645,0.54919,0.30329,1.31545,0.78276,0.9854,9.84026e-05,9.84026e-05,9.84026e-05
7,57.3356,1.25101,0.70803,0.9657,0.58842,0.50583,0.54603,0.29826,1.314,0.77886,0.98554,7.91118e-05,7.91118e-05,7.91118e-05
8,64.3132,1.24745,0.69918,0.96986,0.73467,0.48361,0.54288,0.29706,1.31507,0.77783,0.985,5.9821e-05,5.9821e-05,5.9821e-05
9,71.1307,1.24689,0.69603,0.96123,0.66202,0.48912,0.54726,0.29856,1.3155,0.77762,0.98507,4.05302e-05,4.05302e-05,4.05302e-05
10,78.4203,1.2422,0.69721,0.97031,0.64055,0.49493,0.54559,0.2977,1.31437,0.77649,0.98446,2.12394e-05,2.12394e-05,2.12394e-05
