epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39464,1.31394,0.77251,0.99726,0.76069,0.47787,0.55066,0.30355,1.30972,0.7588,0.98208,0.0597586,0.000709359,0.000709359
2,14.2344,1.30662,0.76335,0.98985,0.65279,0.4759,0.5452,0.30043,1.31374,0.76528,0.98395,0.0276416,0.00129653,0.00129653
3,23.9712,1.2929,0.7493,0.98623,0.66517,0.49748,0.54297,0.30068,1.31297,0.77388,0.98253,0.00162544,0.00162544,0.00162544
4,31.2171,1.29235,0.75293,0.98417,0.65116,0.4982,0.54214,0.30123,1.31365,0.7774,0.981,0.0014248,0.0014248,0.0014248
5,38.2214,1.28759,0.74039,0.98166,0.64842,0.50395,0.54629,0.30465,1.30978,0.77545,0.97953,0.00122415,0.00122415,0.00122415
6,45.3803,1.27593,0.72686,0.97932,0.64741,0.49249,0.54412,0.30286,1.31222,0.77442,0.98051,0.0010235,0.0010235,0.0010235
7,54.8374,1.26381,0.72583,0.97084,0.62453,0.48592,0.54499,0.30146,1.31136,0.77497,0.98075,0.000822856,0.000822856,0.000822856
8,62.1415,1.26369,0.71869,0.97417,0.60786,0.48741,0.53919,0.29973,1.31155,0.77479,0.97845,0.000622209,0.000622209,0.000622209
9,68.9563,1.26455,0.7136,0.96709,0.57467,0.5098,0.54009,0.29914,1.31208,0.77434,0.98086,0.000421562,0.000421562,0.000421562
10,75.7047,1.26194,0.71703,0.97686,0.5874,0.5131,0.5418,0.29877,1.31104,0.77048,0.98068,0.000220915,0.000220915,0.000220915
