epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.71296,1.36458,0.83459,1.01049,0.67525,0.45966,0.48887,0.25701,1.38609,0.89373,1.00483,0.033825,0.000726704,0.000726704
2,20.0625,1.3905,0.88606,1.02395,0.64069,0.43576,0.45942,0.23649,1.42291,0.95145,1.0346,0.0181041,0.00132823,0.00132823
3,28.8852,1.39476,0.90761,1.02952,0.6399,0.40662,0.44396,0.22902,1.41965,0.99302,1.0384,0.00223515,0.00178175,0.00178175
4,37.0044,1.39326,0.89963,1.03377,0.50439,0.4016,0.42249,0.21584,1.43829,0.99529,1.05292,0.00157641,0.00157641,0.00157641
5,44.6259,1.38961,0.88489,1.03144,0.54334,0.40697,0.44032,0.22381,1.44,0.96428,1.05278,0.00135441,0.00135441,0.00135441
6,51.5135,1.3691,0.85171,1.02814,0.5459,0.43903,0.47262,0.24475,1.42512,0.94064,1.04291,0.00113241,0.00113241,0.00113241
7,59.0159,1.34351,0.82829,1.01295,0.52197,0.46344,0.47179,0.24327,1.41779,0.93215,1.04004,0.000910414,0.000910414,0.000910414
8,66.5606,1.32193,0.8007,1.00836,0.56953,0.44439,0.47438,0.2452,1.40462,0.90816,1.03067,0.000688417,0.000688417,0.000688417
9,74.173,1.30446,0.78169,0.99117,0.55663,0.44478,0.48009,0.24924,1.39417,0.8944,1.02836,0.000466419,0.000466419,0.000466419
10,83.5118,1.28661,0.75818,0.99307,0.668,0.43774,0.48107,0.25266,1.38685,0.89077,1.0254,0.000244422,0.000244422,0.000244422
