epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11644,1.31366,0.77203,0.99661,0.76865,0.47555,0.54962,0.30353,1.30844,0.75991,0.98165,0.0518778,0.000239884,0.000239884
2,17.1368,1.30379,0.76105,0.9882,0.64769,0.48103,0.54489,0.29958,1.31186,0.76795,0.98263,0.0266111,0.000438445,0.000438445
3,24.7091,1.29274,0.75016,0.98596,0.63567,0.48331,0.54558,0.30152,1.3097,0.76857,0.98104,0.00129552,0.000588153,0.000588153
4,32.201,1.2897,0.75173,0.9853,0.62735,0.48324,0.5426,0.29968,1.31013,0.7739,0.98135,0.000520369,0.000520369,0.000520369
5,39.411,1.28837,0.74125,0.98308,0.61434,0.49045,0.54213,0.29959,1.30735,0.77554,0.9798,0.000447088,0.000447088,0.000447088
6,48.9828,1.27894,0.73247,0.98065,0.59594,0.49955,0.54271,0.30329,1.30608,0.77206,0.97981,0.000373807,0.000373807,0.000373807
7,56.7313,1.26979,0.73348,0.97368,0.65655,0.50019,0.5455,0.3044,1.30752,0.77094,0.98056,0.000300526,0.000300526,0.000300526
8,64.4184,1.27392,0.72698,0.97928,0.65522,0.49418,0.54504,0.30354,1.307,0.77002,0.97904,0.000227245,0.000227245,0.000227245
9,71.8523,1.2748,0.72221,0.97285,0.59806,0.49638,0.54369,0.3018,1.30665,0.77071,0.97967,0.000153964,0.000153964,0.000153964
10,79.3652,1.27455,0.72824,0.98191,0.59707,0.49903,0.54488,0.3027,1.30595,0.76979,0.97931,8.06831e-05,8.06831e-05,8.06831e-05
