epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.497,1.31427,0.77382,0.99746,0.73572,0.49032,0.55082,0.30421,1.30991,0.75932,0.98214,0.0405265,0.000803743,0.000803743
2,17.4127,1.30747,0.76404,0.98996,0.64416,0.4818,0.54492,0.29985,1.31346,0.76614,0.9835,0.0191915,0.00146904,0.00146904
3,24.4371,1.29259,0.74803,0.98606,0.66113,0.4921,0.53987,0.29998,1.31296,0.77558,0.98334,0.00184172,0.00184172,0.00184172
4,31.4758,1.29146,0.75311,0.98477,0.6467,0.49522,0.54368,0.30066,1.31142,0.77762,0.98151,0.00161438,0.00161438,0.00161438
5,40.5063,1.2859,0.74024,0.98215,0.64182,0.49863,0.54521,0.30236,1.31064,0.77744,0.98124,0.00138703,0.00138703,0.00138703
6,47.7503,1.27393,0.72492,0.97857,0.64366,0.49592,0.54098,0.30086,1.31363,0.77633,0.98214,0.00115969,0.00115969,0.00115969
7,54.9341,1.26253,0.72465,0.97013,0.59317,0.51153,0.54158,0.29949,1.31251,0.77691,0.98203,0.000932342,0.000932342,0.000932342
8,62.0939,1.26294,0.71834,0.97455,0.60722,0.48714,0.53586,0.29682,1.31226,0.77578,0.97997,0.000704998,0.000704998,0.000704998
9,69.0637,1.26278,0.71207,0.96672,0.58498,0.50302,0.53696,0.29784,1.31395,0.7756,0.98214,0.000477653,0.000477653,0.000477653
10,78.3911,1.26009,0.7164,0.97589,0.59253,0.51682,0.53903,0.29817,1.31139,0.77322,0.98126,0.000250309,0.000250309,0.000250309
