epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.09943,1.34975,0.81966,1.00496,0.72486,0.43129,0.48493,0.26231,1.38212,0.88028,1.00369,0.0560689,0.000121436,0.000121436
2,17.3891,1.3213,0.78204,0.99229,0.70505,0.4836,0.52814,0.29336,1.32937,0.80739,0.99158,0.0251831,0.000221953,0.000221953
3,24.7985,1.29147,0.75793,0.9844,0.70317,0.49882,0.53451,0.29108,1.32837,0.80514,0.98952,0.000278261,0.000278261,0.000278261
4,31.8065,1.28556,0.74441,0.98345,0.61744,0.4832,0.5308,0.28838,1.32714,0.79849,0.9879,0.000243912,0.000243912,0.000243912
5,38.9359,1.27647,0.73309,0.97858,0.61456,0.48648,0.53746,0.29292,1.31769,0.79164,0.98468,0.000209563,0.000209563,0.000209563
6,45.8953,1.26077,0.71332,0.97411,0.61088,0.48262,0.53809,0.29383,1.32415,0.79171,0.98678,0.000175214,0.000175214,0.000175214
7,54.7403,1.24895,0.70534,0.96502,0.60928,0.49256,0.53722,0.29104,1.33227,0.79349,0.98935,0.000140865,0.000140865,0.000140865
8,62.3532,1.24257,0.69762,0.96699,0.61888,0.47661,0.53705,0.28977,1.32892,0.792,0.98724,0.000106516,0.000106516,0.000106516
9,69.7561,1.23898,0.69169,0.95711,0.60136,0.49122,0.5347,0.2899,1.32798,0.7905,0.98733,7.21675e-05,7.21675e-05,7.21675e-05
10,76.9091,1.23313,0.68986,0.96606,0.60792,0.4899,0.53706,0.28947,1.32745,0.78841,0.9878,3.78185e-05,3.78185e-05,3.78185e-05
