epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.73312,1.35579,0.83111,1.0065,0.70302,0.43979,0.48061,0.25591,1.39871,0.90655,1.01079,0.0483181,0.000237411,0.000237411
2,15.1561,1.34449,0.82353,0.99815,0.6852,0.47358,0.50723,0.27418,1.34976,0.84429,0.99809,0.0218853,0.000433926,0.000433926
3,25.0191,1.31572,0.79934,0.9926,0.59513,0.50321,0.52135,0.28284,1.34693,0.84373,0.99606,0.00054401,0.00054401,0.00054401
4,32.6398,1.31064,0.78661,0.99371,0.60383,0.47771,0.52112,0.28215,1.34037,0.83617,0.99623,0.000476857,0.000476857,0.000476857
5,39.9668,1.29218,0.76576,0.98532,0.5833,0.49668,0.51624,0.27801,1.34367,0.83202,0.99848,0.000409704,0.000409704,0.000409704
6,47.0927,1.27741,0.74295,0.98229,0.60593,0.47837,0.51997,0.28063,1.34431,0.82913,0.99978,0.00034255,0.00034255,0.00034255
7,54.2658,1.26356,0.73168,0.97117,0.64971,0.50023,0.52005,0.28209,1.34231,0.82821,0.99747,0.000275397,0.000275397,0.000275397
8,63.8041,1.25188,0.72281,0.97349,0.62935,0.48152,0.5214,0.28221,1.34243,0.8251,0.99701,0.000208243,0.000208243,0.000208243
9,70.9172,1.24817,0.71319,0.96232,0.65417,0.46729,0.52215,0.28102,1.34318,0.81938,0.99593,0.00014109,0.00014109,0.00014109
10,77.6714,1.24093,0.70545,0.96968,0.66225,0.46474,0.52506,0.2834,1.34269,0.81655,0.9957,7.39366e-05,7.39366e-05,7.39366e-05
