epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.675,1.40805,1.1451,1.02806,0.60923,0.35077,0.37603,0.20468,1.36145,0.86708,0.9733,0.00332978,0.00332978,0.00332978
2,534.906,1.37079,0.91534,0.99585,0.59117,0.34955,0.3682,0.19961,1.34986,0.84984,0.98321,0.00658982,0.00658982,0.00658982
3,947.051,1.40774,0.94866,1.01027,0.51862,0.31454,0.30333,0.15559,1.4137,0.97833,1.00817,0.00977652,0.00977652,0.00977652
4,1283.26,1.42636,0.96659,1.01973,0.60595,0.3438,0.35794,0.18715,1.38052,0.8728,0.99904,0.00967,0.00967,0.00967
5,1542.62,1.39095,0.92282,1.00767,0.59067,0.36361,0.38129,0.20376,1.34242,0.83646,0.97499,0.00956,0.00956,0.00956
6,1803.32,1.36866,0.89358,0.99982,0.61179,0.37083,0.39334,0.21375,1.32539,0.82016,0.97491,0.00945,0.00945,0.00945
7,2065.43,1.34961,0.8693,0.99327,0.64028,0.38927,0.41728,0.22702,1.30871,0.79719,0.96874,0.00934,0.00934,0.00934
8,2323.31,1.33843,0.85694,0.9884,0.63097,0.39824,0.42749,0.23262,1.30028,0.78454,0.96346,0.00923,0.00923,0.00923
9,2582.52,1.32961,0.84507,0.98496,0.62475,0.40716,0.42999,0.23555,1.29136,0.76438,0.9616,0.00912,0.00912,0.00912
10,2846.18,1.31938,0.83319,0.98188,0.65244,0.40687,0.44224,0.24382,1.27646,0.75417,0.95732,0.00901,0.00901,0.00901
11,3103.05,1.31366,0.82578,0.97915,0.64783,0.42466,0.45162,0.24784,1.27485,0.74914,0.95518,0.0089,0.0089,0.0089
12,3454.9,1.30843,0.81883,0.97815,0.65558,0.41785,0.45371,0.25165,1.26711,0.7359,0.95206,0.00879,0.00879,0.00879
13,3715.17,1.30136,0.81287,0.97456,0.6731,0.42585,0.46653,0.25832,1.26114,0.72719,0.95138,0.00868,0.00868,0.00868
14,4089.32,1.29701,0.80638,0.97323,0.66659,0.43052,0.46774,0.25907,1.25768,0.7243,0.94823,0.00857,0.00857,0.00857
15,4358.98,1.29253,0.80157,0.97186,0.66781,0.43534,0.47151,0.26309,1.25446,0.7155,0.94926,0.00846,0.00846,0.00846
16,4656.87,1.28722,0.79465,0.96929,0.68035,0.43435,0.47854,0.26777,1.24972,0.71011,0.94579,0.00835,0.00835,0.00835
17,4916.98,1.28598,0.79136,0.96902,0.68829,0.43146,0.47935,0.26771,1.24764,0.70661,0.94651,0.00824,0.00824,0.00824
18,5172.92,1.28038,0.78679,0.96636,0.68665,0.43991,0.48304,0.27061,1.24332,0.70275,0.94392,0.00813,0.00813,0.00813
19,5435.1,1.27835,0.78288,0.96637,0.69359,0.4412,0.48573,0.27277,1.23916,0.70098,0.9425,0.00802,0.00802,0.00802
20,5691.57,1.27603,0.78018,0.96543,0.69511,0.44198,0.48851,0.27444,1.23729,0.69528,0.94238,0.00791,0.00791,0.00791
21,5954.76,1.27468,0.77698,0.96493,0.69158,0.44911,0.4924,0.27751,1.23508,0.69191,0.94206,0.0078,0.0078,0.0078
22,6217.12,1.27027,0.77396,0.96283,0.69544,0.45098,0.4959,0.27899,1.23284,0.68921,0.94121,0.00769,0.00769,0.00769
23,6477.23,1.26868,0.77299,0.96205,0.70346,0.45038,0.49729,0.2795,1.23164,0.68732,0.94114,0.00758,0.00758,0.00758
24,6738.58,1.26591,0.76755,0.96179,0.70605,0.44628,0.49755,0.28054,1.23011,0.68537,0.94031,0.00747,0.00747,0.00747
25,7069.98,1.26376,0.76653,0.96071,0.70313,0.45188,0.50012,0.28216,1.22952,0.68387,0.93996,0.00736,0.00736,0.00736
